Month,RTGS_vol,RTGS_val,CCIL_vol,CCIL_val,Paper_vol,Paper_val,Retail_vol,Retail_val,IMPS_vol,IMPS_val,NACH_vol,NACH_val,AllCards_vol,AllCards_val,CreditCards_vol,CreditCards_val,CreditCardsATM_vol,CreditCardsATM_val,CreditCardsPOS_vol,CreditCardsPOS_val,DebitCards_vol,DebitCards_val,DebitCardsATM_vol,DebitCardsATM_val,DebitCardsPOS_vol,DebitCardsPOS_val,PPI_vol,PPI_val,mBanking_vol,mBanking_val,CardsTotalNumber,CreditCardsNumber,DebitCardsNumber,ATMNumber,POSNumber,DigitalGrantTotal_vol,DigitalGrandTotal_val
Aug-2018,11.01,"138,236.20",0.30,"91,744.59",91.11,"6,427.01",587.20,"21,071.67",133.58,"1,237.34",259.96,"1,111.87","1,307.74","3,733.16",145.04,483.68,0.84,3.86,144.20,479.82,"1,162.69","3,249.48",805.52,"2,759.76",357.17,489.72,372.94,189.81,365.79,"2,069.27","1,021.22",41.03,980.19,"228,422.00","3,332,484.00","2,370.29","232,380.35"
Jul-2018,10.97,"138,628.54",0.31,"95,221.90",95.38,"6,833.38",564.94,"19,621.33",127.38,"1,171.67",256.35,"1,114.09","1,294.92","3,648.13",145.81,481.31,0.80,3.72,145.01,477.58,"1,149.11","3,166.82",781.76,"2,683.76",367.35,483.06,351.80,175.19,340.49,"2,091.86","1,002.15",40.15,962.00,"227,586.00","3,268,817.00","2,318.31","237,512.84"
Jun-2018,11.43,"142,541.58",0.30,"92,619.44",97.30,"7,196.71",533.59,"21,261.25",120.49,"1,130.12",235.41,"1,100.94","1,248.26","3,626.27",136.73,466.29,0.75,3.53,135.98,462.76,"1,111.53","3,159.98",752.71,"2,680.75",358.82,479.23,332.95,163.46,306.42,"1,894.66",983.64,39.37,944.27,"226,452.00","3,311,184.00","2,223.83","239,066.15"
May-2018,11.49,"132,353.84",0.33,"94,214.93",96.71,"7,215.22",527.20,"19,214.69",116.62,"1,085.75",237.09,966.41,"1,239.21","3,591.91",139.04,476.31,0.75,3.50,138.29,472.81,"1,100.17","3,115.59",748.04,"2,647.51",352.12,468.08,350.36,155.21,267.78,"1,774.47",962.57,38.60,923.96,"226,238.00","3,247,096.00","2,225.29","230,112.88"
Apr-2018,10.66,"120,758.20",0.32,"88,118.72",92.47,"7,271.80",541.12,"18,588.66",109.55,"1,022.40",263.52,"1,227.04","1,225.75","3,554.28",133.05,451.74,0.73,3.40,132.32,448.34,"1,092.70","3,102.54",758.94,"2,647.97",333.77,454.57,326.17,133.80,250.62,"1,348.39",944.14,37.78,906.36,"223,177.00","3,193,356.00","2,196.49","211,713.00"
Mar-2018,12.69,"158,779.65",0.27,"86,985.00",105.65,"7,833.81",539.85,"24,901.84",110.15,"1,038.04",217.31,"1,313.70","1,221.92","3,528.84",128.08,446.77,0.79,3.69,127.29,443.08,"1,093.84","3,082.07",774.94,"2,663.50",318.90,418.57,293.66,118.82,239.90,"1,415.03",898.56,37.48,861.08,"222,247.00","3,083,067.00","2,174.04","249,708.60"
Feb-2018,10.63,"114,123.57",0.28,"85,016.52",93.56,"6,568.54",475.51,"16,678.30",99.25,882.70,210.10,941.95,"1,115.73","3,225.05",115.44,379.81,0.69,3.22,114.75,376.60,"1,000.28","2,845.24",718.28,"2,474.87",282.01,370.37,345.37,149.59,223.25,"1,136.60",892.38,36.94,855.45,"221,687.00","3,079,487.00","2,041.08","203,403.63"
Jan-2018,11.16,"133,665.22",0.35,"101,560.41",99.06,"6,999.49",489.35,"17,087.48",99.56,882.14,218.96,820.57,"1,173.66","3,379.02",130.73,417.78,0.75,3.41,129.98,414.37,"1,042.94","2,961.24",741.56,"2,550.22",301.37,411.03,361.20,147.71,215.01,"1,114.08",882.94,36.24,846.70,"221,620.00","3,061,817.00","2,134.78","236,662.52"
Dec-2017,10.90,"128,098.85",0.28,"88,062.67",96.44,"6,752.50",469.96,"17,464.68",98.01,871.06,202.26,806.34,"1,178.80","3,469.97",124.48,421.98,0.71,3.34,123.77,418.64,"1,054.32","3,047.99",761.93,"2,640.39",292.39,407.60,319.85,143.34,206.52,"1,057.00",877.97,35.50,842.47,"221,832.00","3,027,382.00","2,076.22","216,800.95"
Nov-2017,10.83,"123,579.36",0.33,"101,377.16",98.60,"6,774.71",460.10,"15,620.80",89.49,782.58,207.97,943.02,"1,118.88","3,254.08",116.59,396.17,0.69,3.20,115.90,392.96,"1,002.30","2,857.91",731.33,"2,492.72",270.96,365.19,236.16,133.21,184.97,"1,065.42",867.66,34.78,832.89,"221,350.00","2,998,733.00","1,924.90","225,570.44"
